brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
KFC,Paris & Potter Management Corporation,5077 Morganton Road,Fayetteville,NC,28314,910/323-2211
KFC,"Paris & Potter Management Of Eastern Carolina, Llc",5080 NC Highway 87 South,Fayetteville,NC,28306,910/323-2211
KFC,Paris & Potter Management Corporation,680 S. Reilly Road,Fayetteville,NC,28314,910/323-2211
KFC,Paris & Potter Management Corporation,9505 Cliffdale Road,Fayetteville,NC,28304,910/323-2211
KFC,"Fqsr, Llc (Dba Kbp Foods)",131 Bethany Church Road,Forest City,NC,28043,913/428-3636
KFC,"Fulenwider Enterprises, Inc.",441 Holly Springs Plaza,Franklin,NC,28734,786/845-6402
KFC,"Fqsr, Llc (Dba Kbp Foods)",1599 US Highway 70 W,Garner,NC,27529,913/428-3636
KFC,"Luihn Vantedge Partners, Llc",5530 North Carolina Highway 42,Garner,NC,27529,919/850-0558
KFC,"Fqsr, Llc (Dba Kbp Foods)",1690 Neal Hawkins Road,Gastonia,NC,28056,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",503 N. New Hope Road & I-85,Gastonia,NC,28054,913/428-3636
KFC,"Coastal Plains Restaurants, Llc",214 North Berkeley Boulevard,Goldsboro,NC,27534,425/486-6336
KFC,"Coastal Plains Restaurants, Llc",700 East Ash Street,Goldsboro,NC,27530,425/486-6336
KFC,"Fqsr, Llc (Dba Kbp Foods)",1600 Bessemer,Greensboro,NC,27405,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",2317 Battleground Avenue,Greensboro,NC,27408,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",2340 Randleman Road,Greensboro,NC,27406,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",3105 Sands Drive,Greensboro,NC,27405,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",3818 B W Gate City Blvd.,Greensboro,NC,27407,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",4623 W. Market Street,Greensboro,NC,27407,913/428-3636
KFC,"Coastal Plains Restaurants, Llc",1998 Stantonsburg Road,Greenville,NC,27834,425/486-6336
KFC,"Coastal Plains Restaurants, Llc",600 West Greenville Boulevard,Greenville,NC,27834,425/486-6336
KFC,"Paris & Potter Management Of Eastern Carolina, Llc",107 Miller Blvd.,Havelock,NC,28532,910/323-2211
KFC,"Fqsr, Llc (Dba Kbp Foods)",1553 Dabney Drive,Henderson,NC,27536,913/428-3636
KFC,"Fulenwider Enterprises, Inc.",1903 Four Seasons Boulevard,Hendersonville,NC,28792,786/845-6402
KFC,"Felker Day, Inc.","1900 12th Avenue, NE",Hickory,NC,28601,704/864-4340
KFC,"Fqsr, Llc (Dba Kbp Foods)",1711 N. Main Street,High Point,NC,27262,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",2722 S. Main,High Point,NC,27263,913/428-3636
KFC,"Felker Day, Inc.",311 Highway 70 East,Hildebran,NC,28637,704/864-4340
KFC,"Luihn Vantedge Partners, Llc",7108 G. B. Alford Highway,Holly Springs,NC,27540,919/850-0558
KFC,"Fulenwider Enterprises, Inc.",640 Main Street,Hudson,NC,28638,786/845-6402
KFC,"Fqsr, Llc (Dba Kbp Foods)",13900 US Highway 74,Indian Trail,NC,28079,913/428-3636
KFC,"Coastal Plains Restaurants, Llc",1207 North Marine Boulevard,Jacksonville,NC,28540,425/486-6336
KFC,"Coastal Plains Restaurants, Llc",201 Western Boulevard,Jacksonville,NC,28546,425/486-6336
KFC,"Jrn, Inc.",531 S. Cannon Blvd.,Kannapolis,NC,28083,931/490-4765
KFC,"Fqsr, Llc (Dba Kbp Foods)",826 S Main St,Kernersville,NC,27284,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",706 S Main St,King,NC,27021,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",409 E. King Street,Kings Mountain,NC,28086,913/428-3636
KFC,"Coastal Plains Restaurants, Llc",1613 West Vernon Avenue,Kinston,NC,28504,425/486-6336
KFC,"Fqsr, Llc (Dba Kbp Foods)","7040 Highway 64, E.",Knightdale,NC,27545,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",1513 S. Main,Laurinburg,NC,28352,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",104 Village Road,Leland,NC,28451,913/428-3636
KFC,"Felker Day, Inc.",428 Blowing Rock Road,Lenoir,NC,28645,704/864-4340
